Indicator,S.No.,Parameters,Type,SubDistrict-_South-Total [(A+B) or (C+D)],SubDistrict-_South-Public [A],SubDistrict-_South-Private [B],SubDistrict-_South-Urban [C],SubDistrict-_South-Rural [D],SubDistrict-Autonomous-Total [(A+B) or (C+D)],SubDistrict-Autonomous-Public [A],SubDistrict-Autonomous-Private [B],SubDistrict-Autonomous-Urban [C],SubDistrict-Autonomous-Rural [D],SubDistrict-CGHS-Total [(A+B) or (C+D)],SubDistrict-CGHS-Public [A],SubDistrict-CGHS-Private [B],SubDistrict-CGHS-Urban [C],SubDistrict-CGHS-Rural [D],SubDistrict-Delhi Govt-Total [(A+B) or (C+D)],SubDistrict-Delhi Govt-Public [A],SubDistrict-Delhi Govt-Private [B],SubDistrict-Delhi Govt-Urban [C],SubDistrict-Delhi Govt-Rural [D],SubDistrict-ESI-Total [(A+B) or (C+D)],SubDistrict-ESI-Public [A],SubDistrict-ESI-Private [B],SubDistrict-ESI-Urban [C],SubDistrict-ESI-Rural [D],SubDistrict-IPP VIII-MCD-Total [(A+B) or (C+D)],SubDistrict-IPP VIII-MCD-Public [A],SubDistrict-IPP VIII-MCD-Private [B],SubDistrict-IPP VIII-MCD-Urban [C],SubDistrict-IPP VIII-MCD-Rural [D],SubDistrict-MCW Centres MCD-Total [(A+B) or (C+D)],SubDistrict-MCW Centres MCD-Public [A],SubDistrict-MCW Centres MCD-Private [B],SubDistrict-MCW Centres MCD-Urban [C],SubDistrict-MCW Centres MCD-Rural [D],SubDistrict-Private-Total [(A+B) or (C+D)],SubDistrict-Private-Public [A],SubDistrict-Private-Private [B],SubDistrict-Private-Urban [C],SubDistrict-Private-Rural [D],Month
M15 [Laboratory Testing],15.3.1.b,Male HIV - Number Positive,TOTAL,12,8,4,2,10,1,1,NA,NA,1,NA,NA,NA,NA,NA,7,7,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,0,4,June
M15 [Laboratory Testing],15.3.2.a,Female Non ANC HIV - Number Tested,TOTAL,1514,555,959,492,1022,112,112,NA,NA,112,NA,NA,NA,NA,NA,443,443,NA,257,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,959,NA,959,235,724,June
M15 [Laboratory Testing],15.3.2.b,Female Non ANC HIV - Number Positive,TOTAL,5,5,0,1,4,0,0,NA,NA,0,NA,NA,NA,NA,NA,5,5,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M15 [Laboratory Testing],15.3.3.a,Number of pregnant women screened for HIV,TOTAL,930,846,84,149,781,26,26,NA,NA,26,NA,NA,NA,NA,NA,820,820,NA,106,714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,84,43,41,June
M15 [Laboratory Testing],15.3.3.b,"Out of the above, number screened positive",TOTAL,35,35,0,33,2,2,2,NA,NA,2,NA,NA,NA,NA,NA,33,33,NA,33,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M15 [Laboratory Testing],15.3.3.c,"Out of the above number screened positive, number confirmed with HIV infection at Integrated Counselling and Testing Centre (ICTC)",TOTAL,4,4,0,2,2,2,2,NA,NA,2,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M15 [Laboratory Testing],15.3.4.a,Number of Male STI/RTI attendees tested for syphilis,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M15 [Laboratory Testing],15.3.4.b,Number of Male STI/RTI attendees found sero Positive for syphilis,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M15 [Laboratory Testing],15.3.4.c,Number of Female (Non ANC)STI/RTI attendees tested for syphilis,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M15 [Laboratory Testing],15.3.4.d,Number of Female (Non ANC) STI/RTI attendees found sero Positive for syphilis,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M15 [Laboratory Testing],15.4.1,Widal tests - Number Tested,TOTAL,942,648,294,242,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,648,648,NA,58,590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,NA,294,184,110,June
M15 [Laboratory Testing],15.4.2,Widal tests - Number Positive,TOTAL,21,11,10,21,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,10,10,0,June
M15 [Laboratory Testing],15.5.1,Radiology - X-ray,TOTAL,19845,3768,16077,7854,11991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3768,3768,NA,NA,3768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16077,NA,16077,7854,8223,June
M15 [Laboratory Testing],15.5.2,Radiology - Ultrasonography (USG),TOTAL,4597,1012,3585,NA,4597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1012,1012,NA,NA,1012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3585,NA,3585,NA,3585,June
M16 [Details of deaths reported with probable causes:],16.1,Infant deaths within 24 hrs(1 to 23 Hrs) of birth,TOTAL,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M16 [Details of deaths reported with probable causes:],16.2.1,Infant Deaths up to 4 weeks due to Sepsis,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M16 [Details of deaths reported with probable causes:],16.2.2,Infant Deaths up to 4 weeks due to Asphyxia,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M16 [Details of deaths reported with probable causes:],16.2.3,Infant Deaths up to 4 weeks due to Other causes,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M16 [Details of deaths reported with probable causes:],16.3.1,Number of Infant Deaths (1 -12 months) due to Pneumonia,TOTAL,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,June
M16 [Details of deaths reported with probable causes:],16.3.2,Number of Infant Deaths (1 -12 months) due to Diarrhoea,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M16 [Details of deaths reported with probable causes:],16.3.3,Number of Infant Deaths (1 -12 months) due to Fever related,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M16 [Details of deaths reported with probable causes:],16.3.4,Number of Infant Deaths (1 -12 months) due to Measles,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M16 [Details of deaths reported with probable causes:],16.3.5,Number of Infant Deaths (1 -12 months) due to Others,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,June
M16 [Details of deaths reported with probable causes:],16.4.1,Number of Child Deaths (1 -5 years) due to Pneumonia,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M16 [Details of deaths reported with probable causes:],16.4.2,Number of Child Deaths (1 -5 years) due to Diarrhoea,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M16 [Details of deaths reported with probable causes:],16.4.3,Number of Child Deaths (1 -5 years) due to Fever related,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M16 [Details of deaths reported with probable causes:],16.4.4,Number of Child Deaths (1 -5 years) due to Measles,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M16 [Details of deaths reported with probable causes:],16.4.5,Number of Child Deaths (1 -5 years) due to Others,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M16 [Details of deaths reported with probable causes:],16.5.1,Number of Maternal Deaths due to Bleeding,TOTAL,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,June
M16 [Details of deaths reported with probable causes:],16.5.2,Number of Maternal Deaths due to High fever,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M16 [Details of deaths reported with probable causes:],16.5.3,Number of Maternal Deaths due to Abortion,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M16 [Details of deaths reported with probable causes:],16.5.4,Number of Maternal Deaths due to Obstructed/prolonged labour,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M16 [Details of deaths reported with probable causes:],16.5.5,Number of Maternal Deaths due to Severe hypertesnion/fits,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M16 [Details of deaths reported with probable causes:],16.5.6,Number of Maternal Deaths due to Other Causes (including causes not known),TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M16 [Details of deaths reported with probable causes:],16.6,Total Facility Based Maternal Death Reviews (FBMDR) done,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M16 [Details of deaths reported with probable causes:],16.7.1,Number of Adolscent / Adult deaths due to Diarrhoeal diseases,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M16 [Details of deaths reported with probable causes:],16.7.2,Number of Adolscent / Adult deaths due to Tuberculosis,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M16 [Details of deaths reported with probable causes:],16.7.3,Number of Adolscent / Adult deaths due to Respiratory diseases including infections (other than TB),TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M16 [Details of deaths reported with probable causes:],16.7.4,Number of Adolscent / Adult deaths due to Other Fever Related,TOTAL,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,June
M16 [Details of deaths reported with probable causes:],16.7.5,Number of Adolscent / Adult deaths due to HIV/AIDS,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M16 [Details of deaths reported with probable causes:],16.7.6,Number of Adolscent / Adult deaths due to Heart disease/Hypertension related,TOTAL,18,NA,18,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,18,0,18,June
M16 [Details of deaths reported with probable causes:],16.7.7,Number of Adolscent / Adult deaths due to Cancer,TOTAL,8,NA,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,8,0,8,June
M16 [Details of deaths reported with probable causes:],16.7.8,Number of Adolscent / Adult deaths due to Neurological disease including strokes,TOTAL,6,NA,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,6,0,6,June
M16 [Details of deaths reported with probable causes:],16.7.9,Number of Adolscent / Adult deaths due to Accidents/Burn cases,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M16 [Details of deaths reported with probable causes:],16.7.10,Number of Adolscent / Adult deaths due to Suicide,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M16 [Details of deaths reported with probable causes:],16.7.11,Number of Adolscent / Adult deaths due to Animal bites and stings,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M16 [Details of deaths reported with probable causes:],16.7.12,Number of Adolscent / Adult deaths due to Known Acute Disease,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M16 [Details of deaths reported with probable causes:],16.7.13,Number of Adolscent / Adult deaths due to Known Chronic Disease,TOTAL,1,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1,June
M16 [Details of deaths reported with probable causes:],16.7.14,Number of Adolscent / Adult deaths due to Causes not known,TOTAL,1,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1,June
M16 [Details of deaths reported with probable causes:],16.8.1,Number of Deaths due to Malaria- Plasmodium Vivax,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M16 [Details of deaths reported with probable causes:],16.8.2,Number of Deaths due to Malaria- Plasmodium Falciparum,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M16 [Details of deaths reported with probable causes:],16.8.3,Number of Deaths due to Kala Azar,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M16 [Details of deaths reported with probable causes:],16.8.4,Number of Deaths due to Dengue,TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M16 [Details of deaths reported with probable causes:],16.8.5,Number of Deaths due to Acute Encephelitis Syndrome (AES),TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M16 [Details of deaths reported with probable causes:],16.8.6,Number of Deaths due to Japanese Encephalitis (JE),TOTAL,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,June
M1 [Ante Natal Care (ANC)],1.1,Total number of pregnant women registered for ANC,TOTAL,4375,3251,1124,2514,1861,382,382,NA,NA,382,15,15,NA,15,NA,1955,1955,NA,869,1086,63,63,NA,63,NA,111,111,NA,111,NA,725,725,NA,342,383,1124,NA,1124,1114,10,July
M1 [Ante Natal Care (ANC)],1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,1716,1226,490,1113,603,249,249,NA,NA,249,10,10,NA,10,NA,591,591,NA,411,180,13,13,NA,13,NA,58,58,NA,58,NA,305,305,NA,137,168,490,NA,490,484,6,July
M1 [Ante Natal Care (ANC)],1.2.1,Number of PW given TT1,TOTAL,1465,1238,227,943,522,118,118,NA,NA,118,9,9,NA,9,NA,576,576,NA,381,195,25,25,NA,25,NA,63,63,NA,63,NA,447,447,NA,244,203,227,NA,227,221,6,July
M1 [Ante Natal Care (ANC)],1.2.2,Number of PW given TT2,TOTAL,1151,951,200,777,374,99,99,NA,NA,99,6,6,NA,6,NA,460,460,NA,335,125,14,14,NA,14,NA,49,49,NA,49,NA,323,323,NA,179,144,200,NA,200,194,6,July
M1 [Ante Natal Care (ANC)],1.2.3,Number of PW given TT Booster,TOTAL,189,159,30,148,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,92,NA,71,21,0,0,NA,0,NA,16,16,NA,16,NA,51,51,NA,31,20,30,NA,30,30,0,July
M1 [Ante Natal Care (ANC)],1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,1285,1083,202,643,642,216,216,NA,NA,216,NA,NA,NA,NA,NA,581,581,NA,240,341,18,18,NA,18,NA,70,70,NA,70,NA,198,198,NA,113,85,202,NA,202,202,0,July
M1 [Ante Natal Care (ANC)],1.2.5,Number of PW given 360 Calcium tablets,TOTAL,933,727,206,548,385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,546,546,NA,205,341,8,8,NA,8,NA,65,65,NA,65,NA,108,108,NA,64,44,206,NA,206,206,0,July
M1 [Ante Natal Care (ANC)],1.2.6,Number of PW given one Albendazole tablet after 1st trimester,TOTAL,530,504,26,239,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,338,338,NA,128,210,0,0,NA,0,NA,47,47,NA,47,NA,119,119,NA,38,81,26,NA,26,26,0,July
M1 [Ante Natal Care (ANC)],1.2.7,Number of PW received 4 or more ANC check ups,TOTAL,1909,1704,205,457,1452,606,606,NA,NA,606,NA,NA,NA,NA,NA,904,904,NA,168,736,11,11,NA,11,NA,36,36,NA,36,NA,147,147,NA,37,110,205,NA,205,205,0,July
M1 [Ante Natal Care (ANC)],1.2.8,Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,29,16,13,13,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,NA,0,14,NA,NA,NA,NA,NA,0,0,NA,0,NA,2,2,NA,0,2,13,NA,13,13,0,July
M1 [Ante Natal Care (ANC)],1.3.1,New cases of PW with hypertension detected,TOTAL,104,78,26,25,79,22,22,NA,NA,22,NA,NA,NA,NA,NA,54,54,NA,0,54,NA,NA,NA,NA,NA,0,0,NA,0,NA,2,2,NA,0,2,26,NA,26,25,1,July
M1 [Ante Natal Care (ANC)],1.3.1.a,"Out of the new cases of PW with hypertension detected, cases managed at institution",TOTAL,74,54,20,20,54,22,22,NA,NA,22,NA,NA,NA,NA,NA,30,30,NA,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,0,2,20,NA,20,20,0,July
M1 [Ante Natal Care (ANC)],1.3.2,Number of Eclampsia cases managed during delivery,TOTAL,10,10,0,0,10,10,10,NA,NA,10,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,0,0,0,July
M1 [Ante Natal Care (ANC)],1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,TOTAL,2114,1837,277,588,1526,236,236,NA,NA,236,NA,NA,NA,NA,NA,1222,1222,NA,136,1086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379,379,NA,175,204,277,NA,277,277,0,July
M1 [Ante Natal Care (ANC)],1.4.2,Number of PW having Hb level<11 (tested cases)(7.1 to 10.9),TOTAL,1128,827,301,728,400,7,7,NA,NA,7,NA,NA,NA,NA,NA,519,519,NA,387,132,11,11,NA,11,NA,NA,NA,NA,NA,NA,290,290,NA,31,259,301,NA,301,299,2,July
M1 [Ante Natal Care (ANC)],1.4.3,Number of PW having Hb level<7 (tested cases),TOTAL,59,54,5,15,44,8,8,NA,NA,8,NA,NA,NA,NA,NA,44,44,NA,10,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,0,2,5,NA,5,5,0,July
M1 [Ante Natal Care (ANC)],1.4.4,Number of PW having severe anaemia (Hb<7) treated,TOTAL,35,33,2,2,33,7,7,NA,NA,7,NA,NA,NA,NA,NA,26,26,NA,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,2,NA,2,2,0,July
M1 [Ante Natal Care (ANC)],1.5.1,Number of PW tested for blood sugar using OGTT (Oral Glucose Tolerance Test),TOTAL,1487,1354,133,133,1354,236,236,NA,NA,236,NA,NA,NA,NA,NA,1086,1086,NA,0,1086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,32,NA,NA,32,133,NA,133,133,0,July
M1 [Ante Natal Care (ANC)],1.5.2,Number of PW tested positive for GDM,TOTAL,43,31,12,12,31,31,31,NA,NA,31,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,12,NA,12,12,0,July
M1 [Ante Natal Care (ANC)],1.5.3,Number of PW given insulin out of total tested positive for GDM,TOTAL,17,9,8,8,9,9,9,NA,NA,9,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,8,NA,8,8,0,July
M1 [Ante Natal Care (ANC)],1.6.1.a,Number of PW tested using POC test for Syphilis,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,July
M1 [Ante Natal Care (ANC)],1.6.1.b,"Out of above, number of PW found sero positive for syphilis",TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,July
M1 [Ante Natal Care (ANC)],1.6.2.a,Number of pregnant women tested for Syphilis,TOTAL,1674,1656,18,242,1432,236,236,NA,NA,236,NA,NA,NA,NA,NA,1310,1310,NA,224,1086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,110,NA,NA,110,18,NA,18,18,0,July
M1 [Ante Natal Care (ANC)],1.6.2.b,Number of pregnant women tested found sero positive for Syphilis,TOTAL,1,1,0,1,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,1,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,July
M1 [Ante Natal Care (ANC)],1.6.2.c,Number of syphilis positive pregnant women treated for Syphilis,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,July
